Date,Category,Rejected Cat 1,Rejected Cat 2,Puzzle,Letters,Prize,Win?,Notes,Season
"January 28, 2021",Living Things,Phrase,Thing,CUDDLY DOGS,B C G A,"$38,000",No,NA,38
"January 29, 2021",Phrase,Place,Thing,BOUNCING AROUND,G D C A,"$38,000",Yes,NA,38
"February 1, 2021",Show Biz,Thing,What Are You Doing?,MOVIE MAGIC,C H P A,"$38,000",No,NA,38
"February 2, 2021",Around the House,Phrase,Thing,WORKBENCH IN THE GARAGE,D P M O,"$38,000",No,NA,38
"February 3, 2021",Event,Thing,In the Kitchen,HUGE BASH,H P B O,Chevrolet Equinox,No,NA,38
"February 4, 2021",Phrase,Thing,Living Things,BASED ON AVAILABILITY,B C D A,Chevrolet Equinox,Yes,NA,38
"February 5, 2021",What Are You Doing?,Thing,Phrase,VOICING AN OPINION,W C G A,"$38,000",No,NA,38
"February 8, 2021",Thing,Living Things,What Are You Doing?,FABULOUS BARGAIN,P H G O,"$38,000",Yes,NA,38
"February 9, 2021",In the Kitchen,Phrase,Thing,PORCELAIN BAKEWARE,P C M I,"$45,000",No,NA,38
"February 10, 2021",In the Kitchen,Event,Thing,FOIL AND PLASTIC WRAP,C M D A,GMC Terrain,No,NA,38
"February 11, 2021",Event,Thing,Living Things,GROUNDBREAKING DISCOVERY,M D B A,GMC Terrain,No,NA,38
"February 12, 2021",Food & Drink,Event,Thing,CUP OF WARM BROTH,B H M O,"$50,000",Yes,NA,38
"February 15, 2021",Person,Phrase,Thing,MY WACKY NEIGHBOR,G B M A,Ford Bronco,No,NA,38
"February 16, 2021",Around the House,Thing,Phrase,OLD FAMILY PHOTOS,D B M A,"$38,000",No,NA,38
"February 17, 2021",Person,Place,Phrase,POTENTIAL HOMEBUYER,D G P I,"$100,000",No,NA,38
"February 18, 2021",Living Things,Thing,Event,PIGEONS AND DOVES,D C P A,"$38,000",Yes,NA,38
"February 19, 2021",What Are You Doing?,Things,Food & Drink,WEIGHING THE OPTIONS,B D C I,Ford Bronco,No,NA,38
"February 22, 2021",Event,Thing,Phrase,MORNING BRIEFING,D M B O,"$38,000",No,NA,38
"February 23, 2021",Phrase,Place,Thing,DON'T MOVE A MUSCLE,D M H A,Ford Mustang convertible,Yes,NA,38
"February 24, 2021",Event,Thing,Phrase,AMAZING JOURNEY,J P G O,"$38,000",Yes,NA,38
"February 25, 2021",Food & Drink,Thing,What Are You Doing?,BARBECUE SAUCE,B D C A M,Ford Mustang convertible,Yes,NA,38
"February 26, 2021",Place,Thing,What Are You Wearing?,LUXURY DUPLEX,M C P A,"$100,000",No,NA,38
"March 1, 2021",What Are You Wearing?,Event,Person,WARM JACKET,J D C O,"$38,000",No,NA,38
"March 2, 2021",Food & Drink,Thing,Event,MANGO AND KIWI,M B D O,"$38,000",No,NA,38
"March 3, 2021",Phrase,Thing,Food & Drink,OUT OF FASHION,G F H O,Mercedes-Benz GLB,Yes,NA,38
"March 4, 2021",Phrase,Event,Thing,I HAVE A VAGUE IDEA,W P M A,Mercedes-Benz GLB,No,NA,38
"March 5, 2021",What Are You Doing?,Thing,Person,TAKING BOLD ACTION,W D C O B,"$100,000",Yes,NA,38
"March 8, 2021",Occupation,Things,Food & Drink,GEOLOGIST,C P H I D,"$45,000",No,NA,38
"March 9, 2021",Phrase,Thing,What Are You Doing?,FOR A CHANGE,C F O M,"$38,000",No,NA,38
"March 10, 2021",What Are You Wearing?,Things,Phrase,MY FAVORITE OUTFIT,G D C O,"$45,000",No,NA,38
"March 11, 2021",Fun & Games,Person,Thing,FIELD HOCKEY,H D F O,"$38,000",Yes,NA,38
"March 12, 2021",Thing,Living Things,Around the House,MOVING COMPANY,D M G A,"$38,000",Yes,NA,38
"March 15, 2021",What Are You Wearing?,Event,Thing,WARM PARKA,P B D A,Subaru Outback,Yes,NA,38
"March 16, 2021",Food & Drink,Things,Event,ORGANIC JAMS,C F M U,BMW X1,No,NA,38
"March 17, 2021",What Are You Doing?,Things,Phrase,PLAYING A VIDEO,P G M A,"$38,000",No,NA,38
"March 18, 2021",What Are You Wearing?,Thing,Living Things,FLOWING WHITE GOWN,P H G O,"$100,000",Yes,NA,38
"March 19, 2021",Food & Drink,Thing,Living Things,POACHED HALIBUT,P G C O,"$50,000",No,NA,38
"March 22, 2021",Show Biz,Phrase,Living Things,COMPLEX CHOREOGRAPHY,D H G O,"$38,000",Yes,NA,38
"March 23, 2021",Things,Food & Drink,Event,POPULAR EXHIBITS,C F D A H,Ford Edge,No,NA,38
"March 24, 2021",Around the House,Person,Thing,HEAVY LAUNDRY BASKET,D B M A,"$38,000",No,NA,38
"March 25, 2021",What Are You Wearing?,Thing,Phrase,JEAN JACKET,D M P I F,Ford Edge,Yes,NA,38
"March 26, 2021",Living Things,Place,Thing,DOZENS OF DAFFODILS,P H M O,"$38,000",No,NA,38
"March 29, 2021",Living Things,Thing,Phrase,BIRDS IN FLIGHT,P H G O,Volkswagen Atlas,Yes,NA,38
"March 30, 2021",Around the House,Phrase,Thing,DIMMER SWITCH,C P D O,"$38,000",No,NA,38
"March 31, 2021",Food & Drink,Thing,Event,FOAMY CAPPUCCINO,M C P A,"$45,000",No,NA,38
"April 1, 2021",What Are You Doing?,Thing,Food & Drink,CHANGING COURSE,D H P O,"$38,000",No,NA,38
"April 2, 2021",Person,Event,Things,A COOL DUDE,B P C A,Volkswagen Atlas,No,NA,38
"April 5, 2021",Around the House,Event,Thing,SOAP DISH,D P M O,Mini Cooper,Yes,NA,38
"April 6, 2021",Food & Drink,Thing,What Are You Doing?,WAFFLE CONE,P C H I,"$45,000",Yes,NA,38
"April 7, 2021",People,Thing,Fun & Games,ROCK CLIMBERS,P M C A,"$45,000",No,NA,38
"April 8, 2021",Phrase,Thing,Living Things,SOME FOOD FOR THOUGHT,H G F O,"$38,000",Yes,NA,38
"April 9, 2021",Food & Drink,Thing,Phrase,YOGURT WITH FRUIT,M H P I,"$38,000",No,NA,38
"April 12, 2021",Phrase,Things,Food & Drink,WAVE YOUR HANDS,H D M O,"$38,000",Yes,NA,38
"April 13, 2021",What Are You Doing?,Thing,Living Things,TAKING PICTURES,P C K A,"$38,000",Yes,NA,38
"April 14, 2021",What Are You Doing?,Thing,Phrase,CHECKING MY AVAILABILITY,P H G O,"$38,000",No,NA,38
"April 15, 2021",Phrase,Thing,Living Things,QUITE FRANKLY,A P G H,"$38,000",No,NA,38
"April 16, 2021",Food & Drink,Thing,Show Biz,CREAMY ARTICHOKE DIP,C F H A,Mini Cooper,Yes,NA,38
"April 19, 2021",Event,Person,Thing,SPECIAL OCCASION,P C D O,"$38,000",Yes,NA,38
"April 20, 2021",Fun & Games,Thing,Living Things,PLAYING GOLF,C W H I,Chevrolet Camaro,No,NA,38
"April 21, 2021",Around the House,Thing,Phrase,EMPTY HAMPER,M D G O,"$100,000",No,NA,38
"April 22, 2021",What Are You Doing?,Phrase,Thing,APPLYING FOR THE POSITION,G F M O,Chevrolet Camaro,No,NA,38
"April 23, 2021",Food & Drink,Thing,In the Kitchen,FIG BAR,G H D O,"$38,000",No,NA,38
"April 26, 2021",Around the House,Phrase,Thing,WICKER BASKET,D C M O,"$38,000",No,NA,38
"April 27, 2021",Phrase,Event,Thing,I CAUGHT A GLIMPSE,G H P O,House,Yes,NA,38
"April 28, 2021",Living Thing,Thing,Person,HONEY BADGER,B M P A,Volkswagen Golf,No,NA,38
"April 29, 2021",Around the House,Event,Thing,JUNK DRAWER,C H P O,"$38,000",No,NA,38
"April 30, 2021",Living Things,Thing,Phrase,GIANT OAKS,P H G O,"$38,000",Yes,NA,38
"May 3, 2021",Person,Things,What Are You Doing?,AVID SUPPORTER,P G B I,"$38,000",No,NA,38
"May 4, 2021",Food & Drink,Phrase,Thing,FROZEN JUICE,F C M O,BMW 228i,Yes,NA,38
"May 5, 2021",Phrase,Thing,Living Things,YOU MAY QUOTE ME,M G P A,"$38,000",No,NA,38
"May 6, 2021",What Are You Doing?,Phrase,Thing,MAKING GOOFY FACES,C D H A,"$38,000",No,NA,38
"May 7, 2021",What Are You Doing?,Thing,Event,ADJUSTING MY OFFICE CHAIR,G H M O,"$38,000",No,NA,38
"May 10, 2021",What Are You Doing?,Phrase,Thing,AVOIDING THE CROWDS,C D G A,Nissan Rogue,Yes,NA,38
"May 11, 2021",Phrase,Thing,Show Biz,THE WAIT IS OVER,H M P A C,"$38,000",Yes,NA,38
"May 12, 2021",Person,Thing,Phrase,PAGEANT JUDGE,C H G O P,Nissan Rogue,Yes,NA,38
"May 13, 2021",Phrase,Place,Thing,DOWN THE PATH,C D M I P,"$45,000",Yes,NA,38
"May 14, 2021",What Are You Wearing?,Thing,Person,WATERPROOF PONCHO,D W Y O C,"$38,000",Yes,NA,38
"May 17, 2021",What Are You Doing?,Phrase,Thing,CHATTING WITH MOM,G H C A,"$100,000",Yes,NA,38
"May 18, 2021",Food & Drink,Things,Around the House,GARLIC BREAD,D M G A,Ford Mustang,Yes,NA,38
"May 19, 2021",In the Kitchen,Thing,Occupation,BUN WARMER,M W B A,"$38,000",Yes,NA,38
"May 20, 2021",Event,Thing,Living Thing,FESTIVE HOLIDAY,P C M O,"$50,000",No,NA,38
"May 21, 2021",What Are You Doing?,Place,Thing,KEEPING A JOURNAL,J G K A,"$38,000",Yes,NA,38
"May 24, 2021",Living Things,Phrase,Thing,GOPHERS IN THE BACKYARD,C G P O,Ford Escape,Yes,NA,38
"May 25, 2021",Phrase,Thing,Living Thing,DABBLE IN PHOTOGRAPHY,M C D A,Ford Escape,Yes,NA,38
"May 26, 2021",Around the House,Thing,Person,FAMILY SCRAPBOOK,H M K A,"$45,000",No,NA,38
"May 27, 2021",What Are You Doing?,Phrase,Thing,QUOTING A MOVIE,H C Y A F,Ford Escape,No,NA,38
"May 28, 2021",What Are You Doing?,Thing,Phrase,TAKING THE BOULEVARD,H K D A,Ford Escape,Yes,NA,38
"May 31, 2021",Event,Thing,What Are You Doing?,CHARITY AUCTION,H D G O,Chevrolet Camaro,Yes,NA,38
"June 1, 2021",Phrase,Thing,Living Things,FROM DUSK TO DAWN,M D C O H,"$38,000",Yes,NA,38
"June 2, 2021",Phrase,Thing,Living Things,WRAP IT UP IN A JIFFY,F D M O H,"$38,000",No,NA,38
"June 3, 2021",Phrase,Thing,Food & Drink,YOU ALMOST HAD IT,F H C I,Chevrolet Camaro,No,NA,38
"June 4, 2021",What Are You Doing?,Phrase,Thing,MOVING QUICKLY,D B M I,Ford Escape,No,NA,38
"June 7, 2021",What Are You Doing?,Phrase,Thing,FIXING THE VACUUM,D B M O,Mercedes-Benz C300,No,NA,38
"June 8, 2021",Around the House,Thing,Food & Drink,PUFFY BEANBAG,D M C A,"$45,000",No,NA,38
"June 9, 2021",Living Things,Thing,Food & Drink,HUGE POD OF WHALES,P H D O,"$38,000",Yes,NA,38
"June 10, 2021",Living Thing,Thing,Phrase,YOUNG GIRAFFE,P G C O,"$50,000",No,NA,38
"June 11, 2021",Person,Things,Living Thing,FORMER JOCK,M K D O,Mercedes-Benz C300,Yes,NA,38
"September 13, 2021",Place,Phrase,Around the House,GARDEN PATH,H G P O,"$39,000",Yes,NA,39
"September 14, 2021",What Are You Wearing?,Phrase,Things,PLAID BOXERS,C D M A H,"$39,000",Yes,NA,39
"September 15, 2021",Person,Thing,Food & Drink,HAPPY CUSTOMER,H D M A,"$45,000",Yes,NA,39
"September 16, 2021",Event,Thing,Phrase,GOING ON SAFARI,D P H O,"$39,000",No,NA,39
"September 17, 2021",Place,Thing,Living Things,QUITE COVE,P D G O,"$45,000",No,NA,39
"September 20, 2021",Show Biz,Phrase,Things,EPISODE GUIDE,D H M A,Volkswagen ID.4,No,NA,39
"September 21, 2021",Food & Drink,Thing,What Are You Doing?,HOLIDAY FRUITCAKE,C D M A,"$39,000",Yes,NA,39
"September 22, 2021",Living Things,Phrase,Thing,JASMINE BLOOMS,H C D I,"$39,000",No,NA,39
"September 23, 2021",Thing,Phrase,What Are You Wearing?,A USEFUL DEVICE,F C D U,"$39,000",Yes,NA,39
"September 24, 2021",Phrase,Things,Living Things,FACE THE FACT,F B H O,"$39,000",No,NA,39
"September 27, 2021",Thing,Phrase,What Are You Doing?,YOUR BACK POCKET,H C P O,Mini Cooper,No,NA,39
"September 28, 2021",What Are You Doing?,Place,Thing,LOOKING FOR A QUICK FIX,F D H O,Mini Cooper,No,NA,39
"September 29, 2021",Phrase,Things,Living Thing,GIVE HIM SOME ADVICE,D W M A,Mini Cooper,No,NA,39
"September 30, 2021",What Are You Wearing?,Thing,Phrase,DARK GRAY BLAZER,C D P O,"$39,000",No,NA,39
"October 1, 2021",Around the House,Phrase,Thing,FRAGILE VASE,P H G O D,"$50,000",No,NA,39
"October 4, 2021",Phrase,Thing,What Are You Doing?,IN AN AWKWARD POSITION,M P D A,"$100,000",No,NA,39
"October 5, 2021",Phrase,Thing,Around the House,YOU HAVE TO BE KIDDING,C H G O,"$39,000",No,NA,39
"October 6, 2021",Living Thing,Thing,What Are You Doing?,BABY IGUANA,P G M O,"$39,000",No,NA,39
"October 7, 2021",What Are You Doing?,Place,Thing,PIVOTING,G P H A,"$39,000",No,NA,39
"October 8, 2021",Around the House,Thing,Place,HEAVY QUILT,M H D A,"$45,000",No,NA,39
"October 11, 2021",What Are You Doing?,Phrase,Thing,FLIPPING OUT,M J D A,Mazda CX-5,Yes,NA,39
"October 12, 2021",Things,Phrase,Living Thing,VALUABLE GOODS,C H G I,"$39,000",No,NA,39
"October 13, 2021",Place,Thing,Around the House,QUAINT HOME,G P H O,"$39,000",No,NA,39
"October 14, 2021",What Are You Doing?,Phrase,Things,VIEWING A MOVIE,G P H A,Mazda CX-5,No,NA,39
"October 15, 2021",Food & Drink,Place,Around the House,BAG OF MIXED VEGGIES,C F M U,"$39,000",No,NA,39
"October 18, 2021",Event,Thing,Phrase,MAKING A BREAKTHROUGH,C O M D,"$39,000",Yes,NA,39
"October 19, 2021",What Are You Doing?,Thing,Place,FOCUSING ON THE POSITIVE,P H G O,"$39,000",No,NA,39
"October 20, 2021",What Are You Wearing?,Thing,Living Things,LIGHTWEIGHT HOODIE,C D H O,"$39,000",Yes,NA,39
"October 21, 2021",Around the House,Thing,Person,OUTDOOR JACUZZI,C D M O,"$39,000",No,NA,39
"October 22, 2021",Phrase,Place,Thing,IT HAS A HIGH PROBABILITY,D H W A,Volkswagen Taos,No,NA,39
"October 25, 2021",Phrase,Thing,Living Thing,I BOUGHT A VOWEL,H G M A,Ford Bronco Sport,No,NA,39
"October 26, 2021",Event,Thing,Phrase,A MAJOR DISCOVERY,H M Y A,"$45,000",No,NA,39
"October 27, 2021",Phrase,Place,Thing,QUITE PROFOUND,C H D O,"$39,000",No,NA,39
"October 28, 2021",Phrase,Thing,Person,THEY DO FABULOUS WORK,D C P A,"$45,000",Yes,NA,39
"October 29, 2021",Food & Drink,Place,Thing,JUICY PLUMS,G H P O,Ford Bronco Sport,No,NA,39
"November 1, 2021",Living Thing,Place,Thing,GORGEOUS FAWN,D M C A,"$100,000",No,NA,39
"November 2, 2021",What Are You Doing?,Phrase,Thing,MOVING BACK HOME,G M P A,"$39,000",No,NA,39
"November 3, 2021",Living Thing,Thing,Place,CUTE JACKRABBIT,G D C A,"$39,000",Yes,NA,39
"November 4, 2021",Phrase,Event,Thing,WE GO BY THE BOOK,B D M O,"$50,000",No,NA,39
"November 5, 2021",What Are You Doing?,Thing,Phrase,JOCKEYING FOR POSITION,P G M O D,"$39,000",No,NA,39
"November 8, 2021",Phrase,Things,Around the House,BUZZING WITH IDEAS,H M G I,Volkswagen ID.4,Yes,NA,39
"November 9, 2021",Person,Thing,Living Thing,GIGGLING CHILD,D C H A M,Infiniti QX50,No,NA,39
"November 10, 2021",Place,Thing,What Are You Doing?,WAVY LAGOON,C G P A,"$39,000",No,NA,39
"November 11, 2021",Phrase,Things,Around the House,PAY YOUR DUES,Y D C A,"$39,000",Yes,NA,39
"November 12, 2021",Living Things,Things,Phrase,JAGUARS IN THE WILD,P H G O,Mazda CX-5,Yes,NA,39
"November 15, 2021",Phrase,Thing,Living Thing,HE WAS BAMBOOZLED,M D H A,"$39,000",Yes,NA,39
"November 16, 2021",Phrase,Thing,Living Thing,I BOUGHT A JACKET,M C B A,"$39,000",Yes,NA,39
"November 17, 2021",What Are You Doing?,Phrase,Thing,WORKING MY WAY BACK,H C D A,"$39,000",No,NA,39
"November 18, 2021",Place,Thing,What Are You Doing?,FLOWING BROOK,G P C O,"$39,000",No,NA,39
"November 19, 2021",Phrase,Thing,Around the House,IT WAS A HUGE CROWD,C D G A,"$39,000",Yes,NA,39
"November 22, 2021",Living Things,Things,Person,FINICKY CATS,B D M I,"$39,000",No,NA,39
"November 23, 2021",What Are You Doing?,Thing,Phrase,BUYING A WHOLE BUNCH,M D H A,"$39,000",No,NA,39
"November 24, 2021",What Are You Doing?,Place,Thing,QUACKING LIKE A DUCK,H G P O,Ford Escape,No,NA,39
"November 25, 2021",Phrase,Thing,Person,IT HAPPENS DAILY,K H G A,Ford Escape,No,NA,39
"November 26, 2021",Place,Thing,Living Thing,BAMBOO GROVE,G M D O,Ford Escape,Yes,NA,39
"November 29, 2021",Thing,Phrase,Living Things,GIANT JACKPOT,D P W A,Mini Cooper,No,NA,39
"November 30, 2021",Food & Drink,Phrase,Thing,FRESH AVOCADO DIP,H C M A,"$39,000",No,NA,39
"December 1, 2021",Person,Thing,Phrase,QUALIFIED APPLICANT,M D B A P,"$39,000",Yes,NA,39
"December 2, 2021",Living Thing,Thing,Place,ADULT HIPPO,G H P O,"$39,000",No,NA,39
"December 3, 2021",What Are You Doing?,Thing,Phrase,FINDING MY WAY,C D M A,"$39,000",No,NA,39
"December 6, 2021",Phrase,Thing,Around the House,I BEG YOUR PARDON,C Y H O,"$39,000",No,NA,39
"December 7, 2021",Thing,Person,Place,QUIRKY HUMOR,M D C O,"$100,000",No,NA,39
"December 8, 2021",Food & Drink,Thing,Phrase,APPLE CIDER VINEGAR,C P D A,"$45,000",Yes,NA,39
"December 9, 2021",Person,Phrase,Things,FOUNDING MEMBER,M F D O,"$45,000",Yes,NA,39
"December 10, 2021",Event,Thing,Food & Drink,FIERCE BLIZZARD,G C P O,"$39,000",No,NA,39
"December 13, 2021",Around the House,Thing,Phrase,BAY WINDOW,C D M O,"$39,000",No,NA,39
"December 14, 2021",Phrase,Thing,What Are You Doing?,SIMPLY BAFFLING,H P G O,"$39,000",No,NA,39
"December 15, 2021",Fun & Games,Place,Thing,KICKING A FIELD GOAL,C D M A,"$39,000",Yes,NA,39
"December 16, 2021",Phrase,Thing,Living Thing,A LOAD OFF MY MIND,B C D A,"$39,000",Yes,NA,39
"December 17, 2021",Around the House,Thing,Phrase,LAUNDRY BASKET,B K D A,"$39,000",Yes,NA,39
"December 20, 2021",Person,Thing,Living Thing,YOUNG JOCK,C H D A,"$39,000",No,NA,39
"December 21, 2021",What Are You Doing?,Phrase,Thing,CHOOSING THE RIGHT WORD,G D H I,Audi Q3,No,NA,39
"December 22, 2021",Food & Drink,Phrase,Thing,HEALTHY APPETIZER,M G B A,Audi Q3,Yes,NA,39
"December 23, 2021",Place,Things,Person,QUIET BUNGALOW,M H C A,Audi Q3,No,NA,39
"December 24, 2021",Living Thing,Thing,Place,LOUD MOCKINGBIRD,D M B I,Audi Q3,No,NA,39
"December 27, 2021",Phrase,Thing,Around the House,I WAS PROUD,W P D I,"$50,000",Yes,NA,39
"December 28, 2021",Food & Drink,Phrase,Thing,WHOLE WHEAT PASTA,H W P A,Mazda MX-30,Yes,NA,39
"December 29, 2021",What Are You Doing?,Thing,Phrase,HYPING UP THE CROWD,M D C O,Mazda MX-30,No,NA,39
"December 30, 2021",Living Things,Things,Phrase,GOPHERS AND GROUNDHOGS,C D P A,Mazda MX-30,Yes,NA,39
"December 31, 2021",What Are You Wearing?,Person,Thing,COMFY PAJAMAS,B C D A M,Mazda MX-30,No,NA,39
"January 3, 2022",What Are You Doing?,Thing,Phrase,FLIPPING THE PAGE,C G H O,Ford Escape,No,NA,39
"January 4, 2022",Around the House,Phrase,Thing,FUZZY BLANKET,P H G O,"$45,000",No,NA,39
"January 5, 2022",Around the House,Things,Phrase,NEW VACUUM BAGS,W H D O,"$45,000",No,NA,39
"January 6, 2022",Fun & Games,Thing,Living Things,POOL CUES,M D C I H,"$39,000",Yes,NA,39
"January 7, 2022",What Are You Doing?,Phrase,Thing,EMBARKING ON A PROJECT,G B D A,"$39,000",No,NA,39
"January 10, 2022",Phrase,Thing,Living Things,THAT WOULD BE AMAZING,C M D U H,"$45,000",Yes,NA,39
"January 11, 2022",Around the House,Things,Phrase,DAMP WASHCLOTH,C M P O,"$39,000",Yes,NA,39
"January 12, 2022",What Are You Doing?,Place,Thing,WRAPPING IT UP,M K F O,"$39,000",No,NA,39
"January 13, 2022",Living Things,Thing,Person,PLAYFUL GIANT PANDAS,P C D A,BMW X1,Yes,NA,39
"January 14, 2022",Around the House,Phrase,Things,FOLDED NAPKINS,C M G A D,BMW X1,Yes,NA,39
"January 17, 2022",Show Biz,Phrase,Thing,BROADWAY OPENING,G F P O,Mini Cooper,Yes,NA,39
"January 18, 2022",Person,Thing,Phrase,FORMER OFFICIAL,C D M A G,"$39,000",No,NA,39
"January 19, 2022",Place,Thing,Person,URBAN PARK,C D H O,Mini Cooper,No,NA,39
"January 20, 2022",Phrase,Place,Thing,I HAVE LOFTY AMBITIONS,H M C A P,"$39,000",No,NA,39
"January 21, 2022",Food & Drink,Event,Thing,QUART OF GOAT MILK,B D P A,"$39,000",No,NA,39
"January 24, 2022",Thing,Phrase,Person,VERBAL EXCHANGE,K P M A,Volkswagen Tiguan,No,NA,39
"January 25, 2022",Around the House,Phrase,Thing,QUILTED BEDSPREAD,D P M O,"$100,000",Yes,NA,39
"January 26, 2022",What Are You Doing?,Event,Thing,BUYING A NEW JOURNAL,W G M A,"$39,000",No,NA,39
"January 27, 2022",What Are You Wearing?,Phrase,Thing,WACKY COSTUME,C M D O,Volkswagen Tiguan,No,NA,39
"January 28, 2022",Phrase,Thing,Living Things,AMONG FAMILY,P G B I M,Volkswagen Tiguan,Yes,NA,39
"January 31, 2022",Food & Drink,Place,Thing,OLIVES AND FIGS,P C D A,Lincoln Corsair,No,NA,39
"February 1, 2022",What Are You Doing?,Phrase,Thing,PACKING MY CLOTHES,G M P A,"$39,000",Yes,NA,39
"February 2, 2022",What Are You Doing?,Person,Phrase,WAITING FOR YOU,P C M A D,Lincoln Corsair,No,NA,39
"February 3, 2022",Phrase,People,Thing,ABOUT THE AUTHOR,D M C O,"$39,000",No,NA,39
"February 4, 2022",Thing,Place,Phrase,PUBLIC FANFARE,D M H A,"$39,000",No,NA,39
"February 7, 2022",Living Things,Thing,Person,VULTURES OVERHEAD,V H D O,"$100,000",Yes,NA,39
"February 8, 2022",Event,Thing,Phrase,A QUICK FLIGHT,C D P I,"$100,000",Yes,NA,39
"February 9, 2022",Phrase,Thing,What Are You Doing?,JUST YOU WAIT,D H M A,"$100,000",Yes,NA,39
"February 10, 2022",Place,Thing,Phrase,A POPULAR HANGOUT,M D P A,Ford Edge,No,NA,39
"February 11, 2022",What Are You Doing?,Event,Thing,PROVING MYSELF,D G P A,"$39,000",No,NA,39
"February 14, 2022",Phrase,Thing,What Are You Doing?,THIS IS MY FINAL OFFER,C D M A,"$39,000",No,NA,39
"February 15, 2022",Food & Drink,Phrase,Things,RAW ZUCCHINI,B M P O,Mazda CX-30,No,NA,39
"February 16, 2022",Living Things,Things,Phrase,JAYBIRDS,D G M O,Mazda CX-30,Yes,NA,39
"February 17, 2022",Thing,Event,Phrase,AN OBVIOUS EXAMPLE,G B M A,"$39,000",Yes,NA,39
"February 18, 2022",Place,Things,Phrase,GLOOMY CAVE,B C H O,"$39,000",Yes,NA,39
"February 21, 2022",Person,Phrase,Thing,MEDIA GURU,D P M A,"$39,000",No,NA,39
"February 22, 2022",Phrase,Thing,Around the House,THEY PAVED THE WAY,D P M A,Ford Bronco,No,NA,39
"February 23, 2022",What Are You Doing?,Thing,Event,HURRYING BACK,M C P I,"$39,000",No,NA,39
"February 24, 2022",Person,Thing,Phrase,BUSY OVERACHIEVER,P M C A,"$39,000",No,NA,39
"February 25, 2022",Living Thing,Thing,Person,HUNGRY JACKAL,P G H A,"$39,000",No,NA,39
"February 28, 2022",Phrase,Place,Thing,BEYOND MY GRASP,D C P O,"$39,000",Yes,NA,39
"March 1, 2022",Living Things,Thing,Phrase,BARKING WATCHDOGS,G B P I,"$39,000",No,NA,39
"March 2, 2022",What Are You Doing?,Phrase,Thing,BEAMING WITH JOY,P G M A,"$100,000",No,NA,39
"March 3, 2022",Phrase,Place,Things,FIND A WAY FORWARD,G M F A,"$45,000",Yes,NA,39
"March 4, 2022",Phrase,Things,Food & Drink,PLEASE QUIT GOOFING AROUND,H G C O,"$39,000",No,NA,39
"March 7, 2022",Phrase,Thing,In the Kitchen,POISED AND READY,D H M A,Nissan Rogue,Yes,NA,39
"March 8, 2022",Phrase,Event,Thing,I AM VERY OPTIMISTIC,M D B I,"$39,000",Yes,NA,39
"March 9, 2022",Food & Drink,Thing,Phrase,BOWL OF GOULASH,P B F O,Nissan Rogue,No,NA,39
"March 10, 2022",What Are You Wearing?,Thing,Event,A MASK AND CAPE,C W D I,"$39,000",No,NA,39
"March 11, 2022",Food & Drink,Place,Things,YUMMY TAFFY,D M P A,"$39,000",Yes,NA,39
"March 14, 2022",What Are You Doing?,Place,Thing,HANGING OUT AT WORK,G M B O,Mini Cooper,No,NA,39
"March 15, 2022",Food & Drink,Place,Thing,FLAVORFUL DUMPLINGS,P D C O,"$39,000",No,NA,39
"March 16, 2022",Phrase,Person,Thing,WE SHOULD JOIN FORCES,M G D I C,"$39,000",No,NA,39
"March 17, 2022",Place,Thing,Phrase,EMPTY HAYLOFT,C H G O D,"$45,000",No,NA,39
"March 18, 2022",What Are You Doing?,Place,Thing,SHOWING AFFECTION,C M G I,"$39,000",No,NA,39
"March 21, 2022",Living Things,Thing,Phrase,YELLOW DAISIES,C P G A H,"$39,000",No,NA,39
"March 22, 2022",What Are You Doing?,Person,Thing,WIDENING THE GAP,M D H I,"$50,000",No,NA,39
"March 23, 2022",What Are You Doing?,Phrase,Thing,GOING HOME,D P C A H,"$39,000",No,NA,39
"March 24, 2022",Phrase,Event,Things,GIVE ME YOUR OPINION,G M C I,Mini Cooper,Yes,NA,39
"March 25, 2022",What Are You Doing?,Things,Places,FIGURING IT OUT,G P H I,Mini Cooper,Yes,NA,39
"March 28, 2022",What Are You Doing?,Thing,Phrase,OFFERING ADVICE,G B H I,"$39,000",No,NA,39
"March 29, 2022",Things,Food & Drink,In the Kitchen,GIFT BOXES,C P M A D,"$39,000",No,NA,39
"March 30, 2022",Phrase,Place,Things,BROWSE AROUND,C M P A,"$50,000",No,NA,39
"March 31, 2022",Living Things,Thing,Phrase,POD OF GRAY WHALES,D M B A,Infiniti QX50,Yes,NA,39
"April 1, 2022",Event,Place,Things,A DIFFICULT JOURNEY,B C D O,"$39,000",No,NA,39
"April 4, 2022",Thing,Event,Phrase,A VOIDED CHECK,P H G O,Mazda CX-5,No,NA,39
"April 5, 2022",Phrase,Thing,What Are You Wearing?,PICK OF THE BUNCH,P M B O,"$39,000",No,NA,39
"April 6, 2022",Food & Drink,Phrase,Thing,PIPING HOT CIDER,D G H O,"$39,000",Yes,NA,39
"April 7, 2022",What Are You Wearing?,Thing,Place,PUFFY CARDIGAN,G H M O,"$39,000",No,NA,39
"April 8, 2022",Fun & Games,Person,Place,THE FINAL BUZZER,D M C O,Mazda CX-5,Yes,NA,39
"April 11, 2022",Food & Drink,Thing,Place,ORGANIC YAMS,B P K I,"$39,000",No,NA,39
